Date,Close/Last,Volume,Open,High,Low
12/04/2018,117.82,18097660,116.81,118.67,116.625
12/03/2018,115.88,9763670,114.68,115.88,114.66
11/30/2018,115.33,9126555,115.31,115.42,114.98
11/29/2018,114.90,7295627,114.92,115.25,114.59
11/28/2018,114.45,7814038,114.85,115.02,114.36
11/27/2018,115.01,5967243,114.81,115.25,114.76
11/26/2018,114.88,6599041,114.86,115.06,114.78
11/23/2018,115.14,3027861,115.67,115.76,115.09
11/21/2018,115.02,4951058,114.89,115.09,114.54
11/20/2018,115.06,6332434,115.24,115.46,114.93
11/19/2018,115.02,6937004,114.41,115.02,114.41
11/16/2018,114.70,9236593,114.20,114.81,113.92
11/15/2018,114.04,7879647,114.44,114.54,113.68
11/14/2018,114.09,8690821,113.48,114.52,113.30
11/13/2018,114.02,6525830,113.71,114.02,113.4845
11/12/2018,114.09,6838139,113.95,114.31,113.91
11/09/2018,113.35,6465323,112.75,113.4967,112.72
11/08/2018,112.51,6905094,112.96,112.97,112.41
11/07/2018,112.52,9313111,113.19,113.40,112.409
11/06/2018,112.37,3154455,112.60,112.73,112.3333
11/05/2018,112.44,4749165,112.48,112.71,112.35
11/02/2018,112.00,11314840,113.17,113.26,111.90
11/01/2018,113.41,6100205,112.85,113.56,112.8399
10/31/2018,113.58,8706347,113.74,113.96,113.21
10/30/2018,114.16,9939512,114.26,114.54,114.02
10/29/2018,114.73,7679119,114.84,115.02,114.26
10/26/2018,114.99,18582470,114.93,115.32,114.79
10/25/2018,114.30,12611340,114.54,114.74,114.23
10/24/2018,114.78,16001760,114.36,114.82,114.24
10/23/2018,113.92,10330720,114.76,115.02,113.84
10/22/2018,113.56,3243211,113.95,114.08,113.53
10/19/2018,113.71,10892400,113.85,113.95,113.4103
10/18/2018,113.96,5728700,113.62,114.39,113.55
10/17/2018,114.00,5879146,114.66,114.785,113.98
10/16/2018,114.68,4762311,114.39,114.72,114.16
10/15/2018,114.42,7146257,114.66,114.8168,114.29
10/12/2018,114.47,6792677,114.39,115.01,114.28
10/11/2018,114.87,16086370,114.00,115.15,113.79
10/10/2018,113.49,15285420,113.14,113.575,112.785
10/09/2018,113.80,11530770,113.14,113.85,113.07
10/08/2018,112.66,5854438,112.99,113.11,112.64
10/05/2018,113.04,18096430,113.39,113.72,112.62
10/04/2018,114.02,16207110,114.13,114.39,113.71
10/03/2018,114.83,20664770,116.27,116.36,114.24
10/02/2018,116.86,8266903,116.67,117.13,116.60
10/01/2018,116.15,22442370,116.66,116.83,116.12
09/28/2018,117.27,12799700,117.85,117.91,117.22
09/27/2018,117.58,5758501,117.24,117.65,117.10
09/26/2018,117.50,9512688,116.93,117.58,116.66
09/25/2018,116.68,6650848,116.48,116.74,116.40
09/24/2018,116.80,5504297,116.74,117.27,116.72
09/21/2018,117.10,6169796,116.87,117.275,116.84
09/20/2018,117.15,8657223,116.58,117.30,116.47
09/19/2018,116.61,13378690,117.105,117.11,116.19
09/18/2018,117.31,10181960,118.06,118.065,117.16
09/17/2018,118.55,5431940,118.18,118.82,118.12
09/14/2018,118.55,5304455,118.41,118.91,118.2999
